gameid,winning_team_champions,losing_team_champions
10021-10021_game_2,"[47, 87, 83, 95, 51]","[43, 73, 59, 9, 38]"
10022-10022_game_1,"[12, 7, 53, 75, 38]","[1, 23, 155, 95, 51]"
10022-10022_game_2,"[110, 23, 3, 60, 90]","[49, 87, 44, 37, 41]"
10023-10023_game_1,"[26, 23, 14, 75, 114]","[43, 132, 48, 37, 90]"
10023-10023_game_2,"[49, 18, 53, 37, 96]","[78, 23, 155, 95, 38]"
10024-10024_game_1,"[82, 3, 43, 37, 51]","[49, 7, 155, 75, 41]"
10024-10024_game_2,"[1, 13, 59, 9, 90]","[12, 73, 102, 95, 51]"
10025-10025_game_1,"[82, 7, 53, 95, 51]","[43, 73, 59, 75, 114]"
10025-10025_game_2,"[17, 47, 50, 60, 61]","[110, 87, 108, 75, 41]"
10025-10025_game_3,"[32, 109, 110, 9, 101]","[17, 23, 8, 37, 61]"
10027-10027_game_1,"[49, 23, 8, 95, 117]","[88, 73, 59, 75, 90]"
10027-10027_game_2,"[78, 7, 77, 75, 25]","[12, 87, 53, 37, 38]"
10028-10028_game_1,"[43, 23, 53, 75, 51]","[110, 87, 77, 24, 41]"
10028-10028_game_2,"[12, 87, 36, 95, 114]","[49, 23, 53, 9, 31]"
10029-10029_game_1,"[49, 66, 155, 9, 90]","[82, 23, 8, 37, 51]"
10029-10029_game_2,"[148, 87, 83, 95, 54]","[125, 23, 51, 75, 113]"
10029-10029_game_3,"[17, 13, 99, 37, 5]","[78, 18, 53, 9, 31]"
10030-10030_game_1,"[1, 92, 12, 95, 41]","[82, 23, 81, 37, 90]"
10030-10030_game_2,"[43, 87, 44, 65, 118]","[58, 18, 155, 9, 51]"
10031-10031_game_1,"[12, 73, 59, 9, 100]","[49, 7, 53, 75, 51]"
10031-10031_game_2,"[43, 132, 119, 75, 114]","[78, 50, 59, 95, 90]"
10032-10032_game_1,"[12, 73, 14, 9, 90]","[133, 23, 53, 37, 114]"
10032-10032_game_2,"[82, 18, 53, 75, 114]","[110, 87, 77, 95, 31]"
10033-10033_game_1,"[110, 7, 77, 9, 100]","[17, 23, 53, 37, 51]"
10033-10033_game_2,"[12, 23, 8, 37, 38]","[32, 7, 40, 24, 25]"
10034-10034_game_1,"[48, 72, 53, 75, 100]","[110, 7, 36, 95, 51]"
10034-10034_game_2,"[47, 73, 59, 37, 114]","[49, 23, 99, 95, 54]"
10034-10034_game_3,"[82, 87, 53, 9, 61]","[17, 6, 43, 37, 90]"
10035-10035_game_1,"[49, 23, 53, 9, 51]","[47, 72, 12, 75, 90]"
10035-10035_game_2,"[47, 18, 3, 15, 16]","[1, 87, 77, 95, 51]"
10036-10036_game_1,"[12, 13, 155, 75, 38]","[78, 23, 59, 95, 51]"
10036-10036_game_2,"[12, 7, 47, 75, 38]","[22, 23, 133, 9, 90]"
10036-10036_game_3,"[125, 13, 77, 37, 90]","[1, 18, 44, 24, 41]"
10037-10037_game_1,"[17, 23, 36, 75, 117]","[12, 18, 8, 65, 46]"
10037-10037_game_2,"[88, 13, 8, 95, 114]","[43, 87, 14, 75, 61]"
10038-10038_game_1,"[43, 3, 110, 75, 54]","[78, 92, 99, 95, 31]"
10038-10038_game_2,"[49, 133, 12, 37, 90]","[48, 23, 53, 95, 117]"
10038-10038_game_3,"[1, 7, 77, 37, 114]","[47, 23, 33, 9, 155]"
10039-10039_game_1,"[17, 7, 12, 9, 51]","[43, 13, 45, 37, 90]"
10039-10039_game_2,"[50, 92, 12, 95, 31]","[78, 47, 119, 75, 41]"
10039-10039_game_3,"[26, 87, 29, 37, 90]","[110, 85, 104, 75, 51]"
10040-10040_game_1,"[82, 23, 155, 75, 90]","[1, 87, 81, 37, 41]"
10040-10040_game_2,"[32, 7, 77, 60, 38]","[1, 13, 53, 37, 51]"
10040-10040_game_3,"[49, 23, 53, 65, 100]","[133, 18, 48, 9, 61]"
10041-10041_game_1,"[1, 18, 3, 37, 25]","[12, 7, 53, 95, 41]"
10041-10041_game_2,"[26, 72, 53, 95, 114]","[58, 23, 44, 37, 90]"
10042-10042_game_1,"[82, 7, 108, 95, 51]","[133, 72, 48, 37, 90]"
10042-10042_game_2,"[12, 87, 53, 9, 90]","[82, 7, 8, 75, 117]"
10043-10043_game_1,"[17, 91, 44, 37, 90]","[12, 7, 14, 9, 51]"
10043-10043_game_2,"[48, 133, 12, 9, 51]","[49, 23, 155, 75, 31]"
10044-10044_game_1,"[49, 23, 53, 95, 114]","[12, 7, 77, 9, 51]"
10044-10044_game_2,"[1, 87, 47, 24, 51]","[32, 50, 59, 95, 100]"
10045-10045_game_1,"[82, 73, 8, 9, 90]","[12, 50, 45, 95, 51]"
10045-10045_game_2,"[12, 87, 14, 75, 51]","[78, 7, 53, 15, 16]"
10046-10046_game_1,"[78, 7, 77, 37, 90]","[1, 18, 53, 9, 31]"
10046-10046_game_2,"[48, 23, 36, 24, 5]","[110, 7, 81, 75, 61]"
10047-10047_game_1,"[55, 85, 99, 75, 114]","[43, 3, 110, 95, 54]"
10047-10047_game_2,"[17, 7, 77, 75, 25]","[12, 87, 34, 60, 51]"
10047-10047_game_3,"[49, 23, 12, 37, 90]","[78, 132, 119, 9, 61]"
10048-10048_game_1,"[12, 7, 8, 9, 38]","[82, 18, 44, 75, 51]"
10048-10048_game_2,"[78, 87, 29, 37, 90]","[12, 23, 53, 95, 114]"
10049-10049_game_1,"[125, 85, 12, 37, 61]","[1, 109, 48, 20, 41]"
10049-10049_game_2,"[78, 3, 110, 24, 51]","[12, 23, 81, 60, 90]"
