team1_champ1,team1_champ2,team1_champ3,team1_champ4,team1_champ5,team2_champ1,team2_champ2,team2_champ3,team2_champ4,team2_champ5,result
12,153,35,75,66,74,19,39,53,43,1
163,103,38,137,10,26,30,76,142,140,0
74,70,49,93,43,52,2,60,53,66,1
163,153,145,137,43,26,55,60,53,15,0
26,55,12,93,66,36,19,163,75,10,1
45,70,17,14,43,34,35,163,159,15,0
34,139,18,53,37,152,55,163,75,66,0
74,148,17,93,37,36,12,163,75,121,1
76,30,39,75,10,24,55,102,53,15,0
12,135,5,159,43,26,148,17,93,66,1
28,55,145,93,43,163,30,83,53,44,1
152,135,49,53,15,12,70,60,159,160,0
26,55,17,93,40,74,148,69,159,66,1
36,55,60,93,37,126,35,163,137,43,1
12,135,145,75,66,26,7,60,93,10,1
74,70,12,159,43,36,135,163,93,164,0
45,47,163,23,123,13,58,56,75,120,0
163,29,20,93,37,56,55,60,159,40,1
74,153,35,9,21,67,148,38,75,66,0
26,19,34,53,37,67,47,56,93,120,1
152,148,60,53,37,45,70,5,75,66,1
36,55,17,159,66,74,139,83,93,43,1
12,153,3,48,164,36,7,5,75,66,1
28,30,83,93,43,74,148,17,53,15,1
13,70,46,9,21,26,77,20,137,10,0
163,55,102,159,43,152,70,145,53,10,0
26,29,163,159,66,12,135,145,53,37,0
6,153,13,48,164,12,77,83,93,43,1
45,55,145,159,66,163,30,35,53,37,0
12,70,128,48,164,163,148,17,53,40,0
74,103,49,71,15,26,27,46,159,66,1
36,139,18,53,164,69,55,102,48,91,0
26,70,49,75,43,74,30,76,9,21,1
6,55,17,93,164,74,30,163,137,21,1
12,19,18,93,37,163,135,145,53,66,1
56,7,158,159,140,12,153,49,75,121,1
83,55,102,159,21,163,153,35,75,66,0
34,77,76,93,43,163,58,17,104,79,1
67,55,49,53,43,36,35,83,93,121,1
26,148,5,53,43,36,70,102,75,66,0
163,7,17,159,40,152,153,145,48,164,1
34,70,145,93,43,6,7,102,159,10,0
67,153,35,23,66,16,148,60,14,43,1
56,77,83,159,10,152,135,25,53,43,0
36,70,49,48,164,67,148,60,53,37,1
163,7,145,93,44,26,135,5,53,66,1
163,55,38,48,164,56,30,116,53,40,1
152,103,46,159,10,24,139,13,75,43,0
26,70,60,93,43,163,148,145,53,44,1
163,55,38,159,10,26,103,17,75,66,0
12,135,17,53,66,45,7,38,71,15,0
26,35,43,93,40,34,55,145,159,121,0
36,70,17,75,43,88,55,38,159,66,1
45,55,145,75,10,26,35,163,159,43,1
12,135,43,53,37,24,7,102,93,10,1
36,148,60,75,10,76,135,145,23,43,1
69,103,163,93,120,45,148,17,53,40,0
163,77,83,75,10,74,55,102,159,43,0
163,30,83,93,164,74,55,145,48,91,1
36,148,163,75,160,12,153,145,159,66,1
61,70,17,137,15,78,73,38,53,121,1
12,55,145,53,160,152,70,5,75,66,0
67,148,43,53,37,36,30,39,83,66,0
26,148,17,159,164,12,58,102,48,91,1
74,55,145,53,15,36,148,60,159,43,0
26,153,102,48,164,76,148,49,93,43,1
36,148,60,159,43,56,70,3,93,15,0
163,55,49,159,121,45,70,145,53,140,0
152,153,38,75,43,163,7,12,14,66,1
13,148,49,48,164,12,153,145,53,43,0
163,55,39,159,129,6,77,76,48,164,0
26,19,76,75,10,69,153,145,53,15,0
56,55,145,93,44,152,135,60,75,43,0
36,7,5,53,15,163,70,43,159,40,1
36,135,102,53,160,6,148,145,93,10,0
28,148,5,48,164,36,55,60,53,37,0
26,70,17,93,44,45,7,46,53,43,0
76,19,43,75,66,26,136,69,9,21,0
26,55,145,75,15,163,139,34,53,43,0
61,135,102,75,15,12,148,43,53,160,1
36,153,17,159,15,67,55,38,53,43,0
152,153,145,75,15,163,77,39,53,43,1
69,70,163,159,40,74,135,102,75,66,1
36,148,102,48,164,76,58,60,159,40,0
152,55,60,75,66,24,103,145,93,43,1
26,55,145,143,164,12,153,60,53,121,1
36,153,35,75,43,126,139,163,159,66,0
34,70,49,93,44,152,135,145,14,85,0
